cajas;marcas;CLIENTES;VTAS;GRUPO
21;161;623;840;2
7;175;714;623;3
7;35;161;175;3
7;56;154;364;3
14;119;350;553;2
21;168;637;742;2
21;189;707;1421;1
21;161;630;630;2
14;105;357;490;2
14;126;637;777;1
7;77;343;630;3
14;49;105;217;3
7;196;945;1141;3
14;203;700;931;2
7;42;119;175;3
0;77;203;238;3
14;154;476;350;3
7;119;364;448;3
21;203;1001;1645;2
14;168;644;749;2
14;175;1239;1743;1
21;224;1148;1589;1
7;14;56;133;3
7;35;133;224;3
7;35;154;231;3
7;203;644;889;3
7;168;721;742;3
21;154;644;833;2
7;7;14;7;3
21;182;812;1267;2
14;140;749;1008;2
21;350;2226;3416;1
7;161;945;875;3
28;238;1855;3549;1
14;119;448;448;2
14;98;392;1043;2
21;238;1337;1505;1
21;259;1505;3794;1
14;49;147;112;3
7;119;378;315;3
14;161;644;1050;2
21;210;889;1106;2
14;133;546;462;2
21;287;1526;2625;1
14;287;1344;2016;1
7;35;133;154;3
21;147;868;1722;2
21;203;1190;2268;2
14;77;413;588;2
14;182;1274;1680;1
7;245;1225;1449;1
14;140;371;357;3
21;210;1246;1666;1
14;147;546;1421;2
7;154;616;910;3
7;105;294;371;3
21;28;119;119;3
14;238;1050;4452;1
14;182;546;357;3
7;105;273;343;3
21;49;154;497;2
14;133;574;497;2
14;210;854;1036;2
14;105;336;336;3
14;91;280;329;3
14;126;644;784;1
21;231;1848;3262;1
35;49;182;1190;2
7;21;91;357;3
14;84;399;707;2
7;77;329;469;3
7;217;868;1799;3
14;238;1281;2415;2
14;203;1099;1337;2
21;140;469;525;2
7;196;945;1197;3
14;77;259;336;3
7;98;392;609;3
14;98;469;518;2
7;77;350;616;3
7;147;784;1302;3
28;336;1603;4760;1
21;140;588;693;2
14;84;308;672;2
14;259;1344;1610;1
0;63;378;329;3
28;203;1155;1680;2
7;35;147;259;3
14;63;203;420;2
14;56;308;532;2
14;98;259;224;3
21;147;742;2317;2
14;91;385;686;2
7;357;4319;8988;1
7;28;56;105;3
14;133;420;553;2
21;154;1148;2583;2
14;70;294;259;3
7;49;189;245;3
35;133;637;777;1
21;273;1575;4928;1
14;105;252;238;3
7;56;287;595;3
7;175;623;616;3
7;287;1512;1862;1
14;154;756;1043;2
21;147;672;672;2
7;70;182;147;3
7;63;231;238;3
7;210;882;1064;3
14;28;112;350;3
14;84;273;560;2
14;91;322;546;3
21;161;595;1148;2
14;147;994;1687;2
7;91;252;588;3
21;238;1211;2107;2
7;175;735;952;3
35;161;1225;3675;1
21;126;812;2352;2
28;133;665;966;2
7;105;378;483;3
14;84;294;259;3
14;133;511;700;2
14;28;147;273;2
14;91;406;665;2
14;126;616;952;2
14;161;770;1008;2
21;175;791;903;2
7;49;252;406;3
7;259;1372;1575;1
7;119;616;1092;1
21;161;672;826;2
7;182;1113;1561;1
14;119;420;364;3
7;189;728;994;3
21;56;224;546;2
21;245;1442;4662;1
7;49;217;469;3
14;154;546;1239;2
7;182;707;707;3
14;56;189;364;3
21;196;959;826;2
7;217;1029;1687;1
21;28;63;77;3
14;91;518;889;2
7;98;252;707;3
21;231;1127;2457;1
14;63;203;294;3
21;154;399;406;3
14;112;574;777;1
14;182;756;959;2
7;259;1218;1309;3
7;105;553;679;2
21;112;511;721;2
7;63;343;483;3
7;287;1274;1190;2
28;392;2086;2506;1
7;70;217;406;3
7;49;490;602;3
14;147;630;1155;2
14;224;1344;2037;1
7;182;763;945;2
21;294;1610;2527;1
7;168;595;931;3
21;259;1344;1939;1
7;119;434;511;3
21;238;1211;2023;1
14;56;217;245;2
7;42;133;168;3
7;98;350;490;3
7;203;812;1064;3
14;105;441;497;2
7;56;378;1204;3
14;140;910;1302;2
14;196;868;1939;2
7;147;588;812;3
14;231;1834;3682;1
14;21;98;168;3
14;147;763;1120;2
14;238;2954;5705;1
7;28;77;56;3
21;119;574;868;2
21;133;896;1694;2
7;119;455;679;3
14;210;1043;1435;1
21;98;532;504;2
14;224;1260;1743;1
14;91;322;672;3
14;84;483;1344;2
7;161;679;1372;3
7;42;182;231;3
21;91;378;1890;2
7;56;224;476;3
14;133;385;588;2
21;119;322;385;3
7;70;259;434;3
28;182;889;1134;2
21;126;497;826;2
21;154;623;763;2
21;105;364;434;2
21;231;1008;1792;2
7;28;105;273;3
21;154;693;1596;2
77;336;1967;4445;1
14;42;154;651;2
21;42;140;182;2
14;35;161;231;2
7;49;182;294;3
14;357;3990;8337;1
21;154;518;602;2
7;224;1064;2338;2
14;133;392;336;3
14;84;525;798;2
14;168;707;833;2
7;238;1106;1323;3
21;217;1344;1974;1
14;126;420;546;2
21;294;1729;2114;1
21;294;1449;2149;1
14;161;448;1008;2
7;147;665;742;3
21;217;1358;1764;1
7;77;406;756;2
7;42;245;259;3
7;35;98;245;3
7;35;154;406;3
7;42;105;119;3
7;119;651;910;2
14;112;385;441;3
14;91;511;714;2
21;287;1421;5628;1
7;56;175;462;3
14;84;294;476;2
7;77;315;301;3
21;154;854;1057;2
7;56;266;336;3
7;77;308;567;3
21;210;882;1183;2
7;217;994;1064;3
14;182;868;1351;2
0;168;854;1582;3
14;28;112;154;3
7;112;434;392;3
14;105;476;763;2
14;252;1491;2107;2
7;63;224;315;3
14;63;224;287;2
14;14;168;175;2
14;112;420;1211;2
7;112;539;658;3
14;133;651;917;2
7;70;252;336;3
21;105;343;413;3
7;56;182;595;3
28;210;1386;2149;1
7;245;1162;1393;3
21;231;1358;4032;1
14;84;350;378;3
28;189;1099;1288;2
7;70;266;462;3
14;56;266;266;3
21;105;322;427;2
7;77;308;644;3
14;231;1456;2373;1
7;168;728;952;3
7;112;567;637;3
7;161;581;588;3
28;56;147;476;2
14;119;420;630;2
7;63;259;273;3
7;175;609;770;3
14;91;210;189;3
14;84;413;518;2
0;63;196;308;3
7;70;441;553;3
14;252;826;1113;2
14;168;581;581;2
7;49;168;245;3
35;91;434;987;1
14;266;1589;2212;1
14;70;224;448;2
21;70;315;392;3
21;238;1750;2604;1
21;224;1281;1736;1
14;98;308;280;3
21;238;1456;2205;1
14;189;1183;1736;1
7;42;182;315;3
21;210;1386;2527;1
7;77;287;280;3
14;175;931;2625;2
14;91;490;833;2
7;119;385;588;3
14;203;931;952;2
7;7;28;105;3
21;63;231;329;2
14;154;791;1260;2
7;63;287;903;3
14;84;455;630;2
14;70;231;567;3
7;35;140;245;3
7;28;105;126;3
14;238;1232;1778;2
7;126;448;1477;3
7;42;217;357;3
7;49;252;238;3
14;77;441;672;2
7;28;161;329;3
14;161;700;791;2
7;63;182;238;3
14;210;1211;1603;2
14;140;686;1127;2
14;140;651;518;2
7;140;679;1022;3
7;133;1106;1680;1
7;91;357;693;3
14;14;56;147;3
7;175;665;1267;3
7;28;77;196;3
14;84;357;546;2
7;35;280;532;3
14;161;770;1449;2
7;140;644;1568;3
21;175;1610;3542;1
7;7;112;210;3
7;168;1036;2800;1
21;210;1267;2030;1
14;154;567;805;2
7;63;168;336;3
14;133;504;980;2
14;35;119;231;3
14;126;497;595;2
7;70;189;196;3
14;84;280;231;3
21;105;343;420;2
14;210;861;1050;2
7;28;84;154;3
7;63;189;154;3
21;203;1008;2065;1
21;175;1043;2338;1
14;77;350;392;3
7;161;1057;1701;3
7;49;280;399;3
14;126;497;469;2
7;56;112;70;3
14;70;287;343;3
7;175;875;1085;3
7;14;84;231;3
7;49;168;140;3
7;154;756;791;3
21;98;413;1778;2
7;252;1316;1659;1
14;105;693;938;1
14;98;511;1435;2
14;77;259;833;3
14;7;42;126;3
14;63;595;770;1
14;42;154;385;3
14;175;868;1344;1
21;161;714;700;2
7;84;343;546;3
14;203;1169;1351;2
7;42;175;294;3
7;147;665;826;3
7;28;70;91;3
14;63;406;833;2
7;105;406;308;3
14;266;1981;3010;1
14;154;616;1477;2
14;238;1330;1764;1
7;77;518;1085;1
7;98;287;224;3
35;301;1778;2849;1
7;28;84;112;3
7;105;364;301;3
14;196;854;777;2
14;112;588;700;1
14;231;1071;1442;1
14;119;595;658;2
7;84;210;182;3
7;35;126;189;3
7;28;56;140;3
7;98;469;497;3
14;168;721;1239;2
28;245;1386;1855;1
21;126;700;847;2
14;42;378;686;2
14;112;399;378;3
7;49;182;336;3
14;168;700;1043;2
14;98;455;1722;1
21;126;448;784;2
7;266;1232;1498;1
7;84;357;700;3
7;77;294;441;3
7;56;182;462;3
21;210;840;1015;2
21;133;910;1421;1
14;91;280;203;3
14;203;854;1078;2
14;147;434;1162;2
21;63;273;357;3
7;189;917;1358;3
7;168;770;1288;3
14;210;1421;2072;1
7;14;35;56;3
7;133;924;1463;3
7;224;1120;1155;3
14;98;574;525;2
21;273;1407;1421;1
7;259;1358;1582;1
21;49;511;980;2
21;189;1127;2198;1
7;42;168;182;3
7;70;280;441;3
14;238;1281;1351;2
7;21;168;392;3
14;42;161;182;2
7;63;210;392;3
14;42;182;315;2
7;42;140;301;3
14;147;392;462;2
7;42;98;210;3
21;203;735;630;2
7;21;84;112;3
14;77;189;350;3
14;119;672;959;1
7;154;679;1099;3
14;70;266;714;2
7;28;147;252;3
7;42;168;224;3
14;70;336;427;2
21;245;994;1099;2
7;28;91;931;3
7;0;0;0;3
14;77;399;735;2
21;175;1141;1722;1
7;21;98;126;3
14;140;637;1148;2
7;70;308;525;3
7;70;266;602;3
14;105;735;1134;1
21;112;385;301;3
14;70;273;721;2
21;133;532;735;2
7;35;84;154;3
7;168;784;847;3
14;56;315;371;2
7;21;84;448;3
21;70;357;707;2
7;84;266;329;3
21;112;441;560;2
7;63;308;441;3
21;245;1267;4340;1
7;49;154;140;3
21;238;1372;1568;1
7;168;595;658;3
21;91;385;1484;2
28;203;931;889;2
14;91;595;826;2
14;203;777;770;2
21;245;1197;1722;1
14;147;700;714;2
7;0;0;0;3
14;42;126;154;2
28;119;427;700;2
7;56;217;420;3
7;126;420;539;3
14;35;140;196;2
7;42;119;84;3
21;63;182;294;2
7;49;217;329;3
7;112;483;497;3
7;35;112;245;3
21;196;1225;1372;2
21;91;336;581;2
14;70;252;308;3
7;42;189;224;3
7;49;182;126;3
7;63;252;469;3
14;259;1232;1267;2
14;21;70;119;3
21;98;266;553;2
7;56;280;280;3
7;84;322;826;3
14;175;798;1057;2
7;161;525;651;3
21;168;1365;3052;1
14;84;315;343;3
21;224;1288;3815;1
7;28;63;98;3
7;49;189;322;3
7;189;812;889;3
14;287;2149;3724;1
21;196;959;1498;2
7;70;280;413;3
7;70;238;588;3
14;42;147;308;2
14;217;861;1050;2
14;91;385;987;2
7;238;910;1743;2
21;196;1176;2485;1
14;119;581;777;2
21;203;1239;1701;1
14;21;105;147;3
14;84;336;497;2
14;126;623;889;2
7;168;798;1099;3
14;35;273;525;2
14;119;469;1008;2
21;175;1036;1631;2
14;259;2051;2835;1
14;126;728;1036;2
7;105;686;994;1
7;28;203;588;3
14;112;560;735;2
14;84;280;532;2
14;63;245;476;2
0;119;420;455;3
7;84;315;805;2
14;98;329;385;2
7;126;462;1687;2
21;175;1008;1491;2
14;105;406;546;2
7;56;252;644;3
14;280;2226;3794;1
14;154;924;3220;2
7;182;791;1015;3
35;252;1890;7763;1
14;35;252;826;2
21;196;1008;1666;1
21;273;1365;2114;1
14;147;567;497;2
28;147;539;742;2
7;77;252;462;3
7;63;294;371;3
7;112;462;406;3
21;238;1169;2961;1
21;98;371;392;1
7;84;784;1204;2
7;56;224;595;3
21;175;777;1078;2
7;63;343;1071;3
14;42;203;182;2
7;49;175;91;3
7;84;217;280;3
14;49;224;1505;2
21;161;679;1589;2
21;147;742;2492;1
14;224;812;1309;2
21;196;910;1099;2
21;189;651;931;2
7;259;1309;1561;1
14;49;161;539;3
14;70;315;581;2
21;105;623;1169;2
7;63;161;224;3
7;42;133;280;3
14;224;1253;2961;1
14;287;1673;2359;1
14;126;588;728;2
14;133;483;896;2
21;126;511;763;2
14;28;84;56;3
21;154;826;1526;1
7;63;707;1092;1
14;182;952;1260;2
14;28;112;168;3
14;245;1106;1582;1
21;140;917;1981;2
14;84;350;476;2
21;203;1190;1358;2
14;182;847;1071;2
7;231;693;812;3
7;63;476;700;2
21;182;833;1113;2
7;161;910;854;3
14;77;287;672;2
7;56;161;329;3
14;35;252;336;2
21;420;3108;5362;1
7;77;301;441;3
21;112;483;1134;2
7;42;84;140;3
7;91;539;658;2
14;70;392;609;2
7;77;420;679;3
14;84;336;420;2
28;175;875;1330;2
14;105;322;273;3
7;84;280;896;3
14;63;329;672;2
7;49;182;392;3
21;147;658;2373;2
21;84;574;1449;1
7;63;231;700;2
14;28;98;217;3
21;161;693;763;2
7;49;175;574;3
0;224;861;770;3
14;49;301;637;2
7;35;126;504;3
21;210;1183;1400;2
21;259;1148;2121;1
7;147;602;1183;3
14;70;287;280;2
14;210;588;791;2
21;378;2317;2877;1
7;21;77;112;3
7;196;742;749;3
7;133;693;1246;3
14;70;413;679;2
14;210;889;903;2
7;63;217;343;3
14;182;693;791;2
14;168;931;1554;2
7;112;364;840;3
14;140;476;413;3
14;189;798;847;2
21;217;1274;2247;1
7;175;1071;1316;3
14;154;609;714;2
7;63;280;1050;3
21;147;735;1708;2
14;56;154;168;2
21;238;1246;1456;1
14;119;532;497;2
21;119;525;602;2
14;70;322;511;2
14;126;490;1512;2
21;371;3143;6181;1
14;49;259;672;2
14;126;623;665;2
7;21;63;238;3
7;126;308;217;3
14;35;147;224;2
7;133;679;966;3
14;196;700;840;2
14;56;210;434;2
7;35;140;336;3
21;168;805;938;2
21;224;1113;1484;2
28;196;889;1974;1
14;161;763;1148;2
14;238;1806;3262;1
7;140;441;364;3
7;56;203;259;3
7;70;378;700;2
7;28;133;217;3
7;378;1967;2625;1
14;154;630;882;2
7;35;161;238;3
21;105;504;686;2
14;63;224;203;2
7;28;112;189;3
7;175;735;1274;3
14;98;294;504;2
7;161;637;812;3
7;14;98;175;3
14;70;301;861;2
14;133;399;532;2
28;203;1309;1953;1
14;21;119;154;2
21;175;693;560;2
21;154;532;651;2
14;49;245;371;3
14;126;1085;2114;1
7;42;196;616;3
21;119;588;567;2
21;70;245;350;3
7;126;602;875;3
7;91;672;1484;1
21;154;1127;3276;1
14;224;1008;1085;2
21;147;672;973;2
14;91;581;973;2
14;35;168;385;2
14;49;196;273;2
7;392;1694;1841;1
7;154;679;693;3
14;112;490;1246;2
14;91;483;819;2
7;21;77;126;3
7;126;399;413;3
35;77;385;1533;1
7;119;455;616;3
14;126;707;1141;2
14;147;595;539;2
7;21;63;203;3
7;196;1267;1799;1
21;168;1092;1365;2
28;203;1449;2072;1
21;203;1379;1855;1
21;175;1309;1883;1
14;175;1134;1505;1
21;203;1582;2247;1
14;196;1267;1505;1
7;189;1267;1666;1
14;161;1197;1610;1
7;203;1393;1981;1
14;84;287;357;3
0;294;3297;5467;3
7;84;413;1197;1
21;203;812;665;2
14;147;518;1477;2
14;35;182;252;2
14;84;462;784;2
7;147;518;777;3
14;224;1015;1064;2
14;28;98;231;2
14;147;749;623;2
14;168;784;1428;2
14;112;406;574;2
7;91;798;1246;2
7;56;210;868;3
7;161;567;791;3
14;70;252;539;2
7;49;196;322;3
14;210;749;938;2
14;189;1078;1421;1
7;266;1351;1498;1
14;49;175;357;3
14;84;287;427;2
14;203;777;644;2
7;28;84;266;3
21;154;791;1043;2
21;133;609;707;2
14;105;539;1050;1
21;266;1106;2926;1
14;231;973;2478;2
7;28;84;161;3
7;154;616;1050;3
21;126;693;882;2
7;63;252;525;3
7;49;196;462;3
7;84;315;476;3
14;203;1232;1890;1
14;203;1505;2387;1
14;210;1071;1407;2
14;70;910;1274;1
14;175;1344;1897;1
7;28;119;147;3
14;133;623;651;2
28;189;819;2240;1
7;70;287;406;3
7;385;2065;3122;1
7;245;1162;1701;1
21;112;399;462;2
14;84;434;714;2
21;168;672;658;2
7;70;252;819;3
28;175;812;1085;2
35;147;868;1477;1
21;105;1246;1764;1
14;196;1008;1092;2
21;91;448;749;2
7;189;637;707;3
28;196;1281;2828;1
49;63;294;2198;2
7;231;1239;1512;1
14;77;343;812;3
21;49;294;882;2
14;49;315;357;2
7;70;273;322;3
14;266;1512;2457;1
14;266;1512;2457;3
7;63;175;280;3
7;35;693;1099;2
7;77;231;497;3
7;84;602;1211;1
14;77;448;798;2
7;56;259;406;3
7;56;210;707;2
21;161;770;1813;1
7;56;245;294;3
14;147;567;511;2
21;168;735;686;2
7;203;770;1260;2
21;70;511;847;1
14;217;1036;1295;2
7;161;686;763;3
7;42;420;574;3
7;168;798;931;3
7;182;812;980;3
14;98;371;560;2
21;189;1029;2625;2
7;63;266;357;3
7;266;1267;1687;1
7;70;427;553;3
14;21;133;175;2
7;35;112;266;3
7;105;294;518;3
14;210;1169;3255;1
14;126;434;378;3
21;238;1540;2226;1
21;203;1029;2058;2
28;77;483;483;2
7;161;672;623;3
14;42;301;630;2
14;63;280;574;2
7;77;343;868;3
7;21;98;252;3
14;49;728;1092;1
7;35;245;567;3
14;210;1190;1715;2
7;168;826;1169;3
7;84;259;308;3
28;112;490;525;2
14;147;679;651;1
14;168;1148;1575;1
7;28;77;98;3
14;28;140;315;2
14;301;1918;3983;1
14;28;154;154;2
28;182;588;1155;2
14;154;630;840;2
7;42;245;714;3
14;35;238;385;2
14;56;196;175;2
21;154;1015;1624;1
14;91;553;728;1
14;322;2121;3087;1
21;154;833;2072;2
14;70;252;329;3
7;98;385;455;3
14;224;1246;2891;1
14;413;2149;2674;1
21;105;413;1694;2
14;434;4193;6790;1
7;105;434;609;3
14;140;434;434;2
14;161;518;1428;2
21;42;245;994;2
14;91;399;504;2
7;42;217;378;3
28;147;609;609;2
7;42;196;483;3
7;147;903;2149;2
7;98;455;441;3
14;56;245;378;3
21;112;322;350;3
7;84;245;231;3
21;49;532;910;2
14;63;210;259;2
7;56;210;203;3
7;322;1414;1162;3
14;168;735;938;2
21;49;147;308;3
7;28;168;728;3
21;399;3129;6524;1
21;406;3479;6601;1
7;329;2128;3199;1
14;329;2625;4438;1
21;49;511;595;2
7;294;1533;2030;1
7;392;2751;3962;1
14;133;1036;1722;1
7;49;413;819;3
14;119;623;861;2
28;196;980;896;2
7;98;308;861;3
14;147;490;854;2
14;98;392;462;2
7;14;70;189;3
14;42;126;140;2
14;28;133;161;2
28;217;1316;1512;1
14;133;742;1799;2
21;147;665;1204;1
21;91;371;455;2
7;98;406;427;3
7;98;301;364;3
14;147;798;1071;2
21;231;1316;1869;1
21;245;1337;1673;1
14;105;469;455;2
21;112;616;861;2
7;84;329;693;3
7;21;42;56;3
21;49;266;504;2
7;231;952;2184;2
7;105;504;973;3
14;168;819;1106;2
14;154;721;1092;2
14;210;1183;1778;2
14;294;1666;2534;1
7;189;966;1498;3
14;35;119;105;2
7;245;1078;3346;1
7;63;315;525;3
14;161;721;994;2
7;42;161;217;3
21;56;224;476;2
21;287;1589;2793;1
21;287;1589;2793;3
21;308;3409;7007;1
7;210;1050;3101;1
7;98;357;679;3
14;420;2100;2492;1
14;7;35;126;3
7;56;301;357;3
14;168;1393;3367;1
14;140;441;651;2
21;70;252;273;2
21;252;1540;2583;1
14;98;455;525;2
14;56;287;427;2
21;182;728;574;2
21;273;1358;1323;2
14;21;49;63;3
7;91;511;861;3
14;21;77;301;3
7;21;98;224;3
21;161;847;1491;2
7;42;140;189;3
21;98;329;399;3
14;77;259;350;2
21;217;1288;1750;1
21;119;602;938;1
7;56;315;343;3
14;91;357;567;2
7;77;315;539;3
7;63;497;1211;1
14;63;294;1036;2
14;91;364;952;3
21;126;588;1253;2
14;112;420;896;2
14;119;539;707;2
14;21;77;259;3
7;28;112;119;3
7;21;224;826;3
7;35;203;504;3
14;133;819;1169;2
7;28;70;196;3
7;63;245;581;3
14;182;1050;1288;2
14;63;469;714;2
14;147;448;1106;2
7;91;196;364;3
14;77;238;357;2
14;91;441;560;2
14;98;490;560;2
28;119;434;966;2
7;49;252;616;3
7;84;273;364;3
7;70;441;539;3
21;119;805;1631;1
14;133;462;567;2
21;245;1120;1022;2
14;112;504;455;2
21;119;938;1365;1
14;119;385;1169;2
14;112;399;609;2
7;91;392;525;3
7;49;168;308;3
7;56;203;329;3
7;49;210;196;3
14;280;1141;1036;2
14;91;483;679;2
14;91;511;525;2
21;133;791;1099;2
28;119;539;623;2
7;63;273;322;3
14;98;273;490;2
7;112;448;1421;3
14;133;1512;2450;1
21;308;1855;2394;1
14;77;343;434;2
14;147;1190;3178;1
7;70;231;721;2
21;196;1015;1267;2
14;329;2191;3150;1
21;196;1204;1617;1
14;203;1127;1694;1
21;182;1190;1876;1
7;42;182;315;3
7;63;434;777;3
14;63;385;399;2
21;203;1169;1617;1
14;203;1127;1393;2
7;182;987;1148;3
14;189;973;1050;2
14;133;770;952;2
7;154;616;826;3
7;63;329;588;3
21;252;1281;1799;2
21;336;2254;3437;1
7;28;196;420;3
7;49;357;399;3
14;126;546;1400;2
14;70;196;224;2
21;119;567;1211;2
7;91;700;1309;2
21;196;847;1190;2
14;140;924;1253;2
14;147;567;1323;2
7;84;245;336;3
7;42;175;217;3
7;21;49;63;3
7;42;294;1218;3
7;154;721;721;3
28;217;1253;1687;1
21;280;1848;2821;1
7;28;91;203;3
21;231;1260;1757;1
28;189;1239;2030;1
7;105;455;504;3
14;77;336;469;2
21;175;1176;2065;1
14;119;630;1071;1
14;112;602;1078;2
14;364;2660;5250;1
7;252;945;1694;1
14;84;511;679;2
7;294;1806;2513;1
14;175;959;1218;2
14;98;588;1484;1
14;84;357;812;2
14;119;455;1092;2
21;112;623;1092;2
7;161;700;1484;3
14;147;686;1498;2
21;126;728;1323;2
7;63;350;784;2
21;168;833;1764;2
14;112;490;1449;2
14;77;357;490;2
7;42;182;315;3
21;168;889;1470;1
21;217;1141;1302;2
7;49;189;595;3
7;168;630;868;3
14;91;336;511;3
7;105;392;728;3
7;70;238;448;3
21;175;861;875;2
14;91;301;392;3
21;217;1099;1547;1
14;112;308;301;3
0;119;441;679;3
14;21;84;77;3
14;84;315;658;3
14;98;427;819;2
14;98;420;588;2
14;105;504;770;2
14;70;175;259;3
7;7;49;168;3
14;98;399;805;2
14;56;322;546;2
14;112;399;329;3
21;175;840;1295;2
7;91;245;378;3
21;154;630;693;2
14;98;238;203;3
7;119;497;735;3
7;49;203;546;3
7;154;847;1183;3
7;217;2702;5887;2
7;28;147;266;3
7;126;1295;2555;1
7;21;84;126;3
14;56;259;441;2
7;189;728;1295;3
7;35;140;154;3
14;245;1337;1953;1
7;154;840;1351;3
14;91;616;1512;2
7;126;476;560;3
7;14;49;154;3
14;63;287;539;2
14;161;637;595;2
7;182;1078;1974;1
14;189;959;1043;2
28;49;343;896;2
21;126;490;553;2
21;238;1071;1470;1
7;98;546;1071;2
7;196;938;1848;3
7;70;217;357;3
7;91;266;497;3
14;126;462;987;2
21;126;322;301;3
7;77;266;378;3
7;119;385;560;3
21;133;553;455;2
14;126;658;1820;1
21;42;168;147;2
21;231;1169;1379;2
14;210;819;938;2
14;35;161;539;2
14;98;406;623;2
7;21;98;294;3
14;294;1722;7630;1
7;56;287;287;3
21;301;1666;2513;1
7;196;742;700;3
21;189;658;700;2
21;217;1498;2016;1
28;182;952;1134;2
7;217;1043;3241;2
21;84;273;224;3
7;175;588;791;3
14;238;903;665;2
7;154;497;1211;3
7;70;196;322;3
7;112;1421;2709;2
21;91;434;532;2
14;70;182;385;3
21;203;882;917;2
7;133;525;833;3
21;217;1596;2597;1
7;112;511;868;3
14;203;1638;2702;1
7;35;161;294;3
42;112;721;1204;1
14;210;1554;2310;1
21;175;1141;1624;1
14;119;420;630;2
7;42;140;203;3
7;28;70;42;3
21;126;588;1253;2
14;175;1169;1715;1
21;413;3276;6048;1
7;210;1232;1736;1
14;224;1344;2023;1
14;147;553;651;2
14;161;784;560;2
14;126;392;903;2
14;91;357;462;3
7;56;168;154;3
21;119;266;385;3
7;203;651;588;3
7;63;238;938;3
7;42;154;217;3
14;252;1995;3332;1
14;252;1246;1652;1
7;42;203;259;3
7;98;266;469;3
7;77;203;511;3
14;280;1253;1239;2
7;210;1162;1561;3
14;49;175;203;3
7;189;952;1211;2
14;252;1435;1960;1
14;147;1001;2030;1
7;56;161;105;3
7;224;1057;1372;3
21;196;952;896;2
14;245;1540;2366;1
14;63;287;623;2
7;91;224;413;3
21;182;854;777;2
14;84;350;1029;2
14;196;707;826;2
21;28;126;217;2
21;217;938;1001;2
14;70;266;238;2
14;91;434;1421;1
14;238;938;1141;2
14;287;1484;1932;1
7;91;294;497;3
14;273;1463;2345;1
7;35;105;105;3
28;154;665;931;2
21;245;1673;3129;1
21;210;1302;1869;1
21;350;1904;2611;1
7;77;301;266;3
14;175;553;616;2
21;63;252;392;2
7;189;924;1120;3
21;210;1239;1365;2
7;63;252;294;3
14;224;728;777;2
7;7;42;35;3
14;189;833;777;2
7;63;231;385;3
7;147;483;840;3
21;217;882;896;2
14;126;665;1456;2
7;49;140;189;3
7;147;497;777;3
14;224;1218;1309;2
14;161;1155;1953;1
7;77;217;140;3
7;42;154;392;3
21;175;714;1687;1
21;133;644;854;2
14;56;161;280;3
14;203;1260;1666;1
21;280;1512;2100;1
7;105;294;399;3
14;112;378;329;2
14;161;756;1379;2
7;35;203;252;3
14;70;357;504;2
7;378;2919;4942;1
7;70;315;350;3
21;84;392;476;2
28;98;336;525;2
35;182;1085;1911;1
14;168;1001;1295;2
7;42;98;56;3
7;210;973;2170;1
7;280;1855;2681;1
14;147;609;875;2
21;203;875;1323;2
14;112;462;427;2
21;203;1162;2016;1
7;28;63;231;3
7;140;504;427;3
14;126;483;1022;2
14;140;959;1288;2
14;91;483;644;2
21;91;427;1008;2
7;42;133;84;3
14;84;266;378;2
7;196;1078;1617;3
21;105;315;322;3
14;77;301;301;3
21;315;2604;4445;1
21;287;2415;3486;1
14;287;1785;2373;1
14;182;686;959;2
21;63;273;357;2
7;224;1274;2009;3
7;7;28;84;3
21;154;882;826;2
7;112;560;987;3
14;224;1246;1603;2
21;308;1988;2863;1
7;35;154;147;3
7;112;245;287;3
14;406;1953;2373;1
14;63;224;329;3
21;140;574;868;2
7;210;1043;1617;3
7;84;231;196;3
21;105;476;651;2
7;105;420;658;3
14;126;574;700;2
14;91;322;343;3
21;308;1470;1505;1
14;140;553;749;2
7;287;1274;1862;1
28;287;1736;2289;1
21;252;1519;1505;1
14;196;987;1057;2
14;259;1309;1176;2
28;231;1190;2093;1
14;126;413;504;3
7;35;84;126;3
7;56;273;609;3
7;70;259;448;3
14;91;504;721;2
21;175;910;1190;2
21;210;1498;2471;1
21;189;847;1792;2
14;154;490;861;2
7;70;273;742;3
14;154;679;777;2
7;35;84;98;3
7;49;280;1008;3
14;126;525;721;2
21;70;287;336;3
14;154;826;959;2
14;259;1379;1680;1
14;273;2023;3556;1
7;238;1162;1421;1
14;224;1365;1631;1
7;49;336;308;3
21;203;910;1078;2
14;154;707;630;2
21;266;1470;1848;1
14;266;1505;4039;1
7;56;350;1057;3
21;126;553;651;2
7;28;112;140;3
14;336;2394;3164;1
7;119;399;763;3
14;105;511;728;2
28;98;406;1876;2
14;175;777;861;2
7;196;1008;1561;3
7;63;154;294;3
14;56;210;350;3
14;189;1106;1267;2
21;231;1330;2723;1
21;154;595;588;2
7;112;504;924;3
7;224;1036;1540;3
14;147;630;1036;2
14;140;707;2324;2
14;126;525;455;2
14;77;504;1330;2
21;231;1358;2240;1
14;168;1078;1512;1
21;231;1274;1890;1
14;70;245;350;3
14;133;560;707;2
14;140;812;1050;2
14;154;658;1036;2
21;259;1113;1379;2
28;154;637;917;2
28;217;1162;2842;1
7;294;1904;2877;1
14;147;693;847;1
7;168;700;882;3
7;168;777;861;2
14;77;266;644;2
21;140;1106;1582;1
14;49;168;294;2
21;175;707;1141;2
7;35;196;252;3
14;140;532;553;2
